TYPE,PATH,LINE,STATUS,inlining-008000,inlining-016000,inlining-032000,inlining-064000,inlining-128000,inlining-256000,summary-001000,summary-002000,summary-004000,summary-008000,summary-016000,summary-032000,summary-064000,POPULARITY
Assigning value to const variable,external/icu4c/common/uniset.cpp,1853,Unknown,,,+,+,+,+,,+,+,+,,+,+,9
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1728,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/quake/quake/src/WinQuake/menu.cpp,811,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/webkit/Source/WebCore/page/SecurityOrigin.cpp,440,Unknown,,,+,+,+,+,,,+,+,+,+,+,9
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,532,Unknown,,,+,+,+,+,,,,,+,+,+,7
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1733,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/svox/pico/lib/picoos.c,538,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,bionic/libc/stdlib/strtoul.c,94,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/icu4c/i18n/decNumber.c,3075,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/Vector.h,978,Unknown,,,+,+,+,+,,,+,+,+,,+,8
Assigning value to const variable,frameworks/wilhelm/src/itf/IObject.c,129,Unknown,,,+,+,+,+,,,,+,+,+,+,8
Integer overflow,external/clang/lib/StaticAnalyzer/Core/HTMLDiagnostics.cpp,562,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,frameworks/av/media/libstagefright/mpeg2ts/ATSParser.cpp,772,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/icu4c/common/utrie2_builder.c,641,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Assigning value to const variable,external/icu4c/common/uhash.c,163,Unknown,,,+,+,+,+,,,+,,+,,+,7
Assigning value to const variable,external/icu4c/common/uniset.cpp,914,Unknown,,,+,+,+,+,,,,,+,+,+,7
Integer overflow,external/llvm/lib/Support/APInt.cpp,2763,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/clang/lib/StaticAnalyzer/Core/HTMLDiagnostics.cpp,555,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1679,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/clang/lib/StaticAnalyzer/Core/HTMLDiagnostics.cpp,555,Unknown,,,+,+,+,+,,,,,,,+,5
Integer overflow,external/skia/src/core/SkTSearch.cpp,99,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/icu4c/common/uniset.cpp,1663,Unknown,,,+,+,+,+,+,,,,+,+,+,8
Integer overflow,external/elfutils/libelf/elf32_updatenull.c,347,Unknown,,,+,+,+,+,,,+,+,+,+,+,9
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1763,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,2396,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/iptables/iptables/xtables.c,318,Unknown,,,+,+,,+,,,,,,,,3
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1684,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Assigning value to const variable,external/icu4c/i18n/colldata.cpp,996,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/openssl/crypto/rc4/rc4_enc.c,194,Unknown,,,+,+,+,+,,,,,,+,+,6
Integer overflow,external/linux-tools-perf/util/event.c,91,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/opencv/ml/src/mlknearest.cpp,196,Unknown,,,+,+,+,+,,,,,,+,+,6
Assigning value to const variable,external/icu4c/common/messagepattern.cpp,1092,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/icu4c/common/uniset.cpp,1670,Unknown,,,+,+,+,+,+,,,,+,+,+,8
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/GVN.cpp,356,Unknown,,,+,+,,,,,,+,+,,,4
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1611,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/opencv/ml/src/mlknearest.cpp,186,Unknown,,,+,+,+,+,,,,,,+,+,6
Integer overflow,external/libpng/pngrutil.c,3418,Unknown,,,+,+,+,+,,,+,+,+,+,+,9
Integer overflow,external/llvm/lib/Support/APInt.cpp,2766,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/llvm/lib/Linker/LinkModules.cpp,265,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/srec/seti/sltsEngine/src/SWIslts.c,230,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1577,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Assigning value to const variable,external/dbus/dbus/dbus-string.c,94,Unknown,,,+,+,+,,,+,,,,,,4
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1804,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Assigning value to const variable,external/llvm/lib/Analysis/InlineCost.cpp,451,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/llvm/include/llvm/ADT/IntervalMap.h,257,Unknown,,,+,,,,,,,,,,,1
Integer overflow,packages/inputmethods/PinyinIME/jni/share/matrixsearch.cpp,1276,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/openssh/sftp.c,328,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/icu4c/common/uniset.cpp,1660,Unknown,,,+,+,+,+,+,,,,+,+,+,8
Integer overflow,frameworks/av/media/libstagefright/codecs/amrwbenc/src/c2t64fx.c,83,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1571,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/text/StringImpl.cpp,86,Unknown,,,+,+,+,+,,,,+,+,+,+,8
Integer overflow,external/sqlite/dist/sqlite3.c,81670,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/libnfc-nci/src/nfa/ee/nfa_ee_act.c,807,Unknown,,,+,+,,,,,,,,+,+,4
Integer overflow,external/opencv/ml/src/mlknearest.cpp,197,Unknown,,,+,+,+,+,,,,,,+,+,6
Assigning value to const variable,external/icu4c/common/utrie2_builder.c,622,Unknown,,,+,+,+,+,+,+,+,,+,+,+,10
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,2398,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/skia/src/gpu/GrTDArray.h,107,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,dalvik/vm/oo/Class.cpp,4601,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/icu4c/i18n/decNumber.c,6634,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/icu4c/common/uniset.cpp,1823,Unknown,,,+,+,+,+,,+,+,+,,+,+,9
Assigning value to const variable,external/icu4c/common/ustrcase.c,144,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/llvm/lib/Support/APInt.cpp,2770,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1681,Unknown,,,+,+,+,+,,,+,+,,,+,7
Integer overflow,external/libpcap/optimize.c,2148,TP,,,+,+,+,+,,,,,,+,+,6
Integer overflow,external/libpcap/optimize.c,2148,Unknown,,,+,+,+,+,,,,,,+,+,6
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1613,Unknown,,,+,+,+,+,,,+,+,,,+,7
Integer overflow,external/qemu/savevm.c,504,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,2181,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/webkit/Source/WebCore/css/CSSImportRule.cpp,94,Unknown,,,+,+,+,+,,,+,+,+,+,+,9
Assigning value to const variable,external/dbus/dbus/dbus-string.c,1424,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/openssl/crypto/rc4/rc4_enc.c,193,Unknown,,,+,+,+,+,,,,,,+,+,6
Assigning value to const variable,external/webkit/Source/WebCore/loader/icon/IconRecord.h,56,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,bionic/libc/string/strndup.c,38,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/quake/quake/src/WinQuake/menu.cpp,2148,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/speex/libspeex/resample.c,695,Unknown,,,+,+,+,+,,,,,,+,+,6
Integer overflow,frameworks/av/libvideoeditor/vss/mcs/src/M4MCS_API.c,9189,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/valgrind/main/memcheck/mc_leakcheck.c,586,Unknown,,,+,+,+,+,,+,+,+,+,+,+,10
Integer overflow,frameworks/av/media/libstagefright/mpeg2ts/MPEG2PSExtractor.cpp,461,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1573,Unknown,,,+,+,+,+,,,+,+,,,+,7
Integer overflow,external/icu4c/common/ushape.c,1698,Unknown,,,+,+,+,+,,+,+,+,+,+,+,10
Integer overflow,packages/inputmethods/PinyinIME/jni/share/matrixsearch.cpp,1657,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/icu4c/common/messagepattern.cpp,617,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/icu4c/common/uidna.cpp,740,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,external/webkit/Source/WebCore/page/FrameTree.cpp,157,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/llvm/lib/Support/APInt.cpp,1625,Unknown,,,+,+,+,+,,,,,,,,4
Integer overflow,frameworks/native/libs/utils/String8.cpp,607,Unknown,,,+,+,+,+,,,,,,,,4
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,2183,Unknown,,,+,+,+,+,,,+,+,,,+,7
Integer overflow,external/valgrind/main/coregrind/m_aspacemgr/aspacemgr-linux.c,1536,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/openssl/crypto/rc4/rc4_enc.c,195,Unknown,,,+,+,+,+,,,,,,+,+,6
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1843,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Assigning value to const variable,external/dbus/dbus/dbus-string.c,93,Unknown,,,+,+,+,,,,,,,,,3
Assigning value to const variable,external/llvm/include/llvm/Analysis/Dominators.h,486,Unknown,,,+,+,+,+,+,+,+,+,+,+,+,11
Integer overflow,external/llvm/lib/Support/APInt.cpp,864,Unknown,,,,+,+,+,,,,,,+,+,5
Integer overflow,external/openssl/crypto/rc4/rc4_enc.c,192,TP,,,,+,+,+,,,,,,,+,4
Integer overflow,external/dnsmasq/src/option.c,2645,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,system/extras/tests/fstest/perm_checker.c,121,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/skia/src/gpu/GrTDArray.h,101,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/GVN.cpp,368,Unknown,,,,+,,,,,,,+,,,2
Assigning value to const variable,external/icu4c/common/ushape.c,819,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/e2fsprogs/misc/mke2fs.c,272,Unknown,,,,+,+,+,,,,,+,+,+,6
Integer overflow,external/llvm/lib/CodeGen/ScoreboardHazardRecognizer.cpp,172,Unknown,,,,+,+,+,,,,,,+,+,5
Integer overflow,system/extras/tests/fstest/perm_checker.c,123,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/clang/utils/TableGen/NeonEmitter.cpp,207,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanner.c,792,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/icu4c/common/ushape.c,826,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/skia/src/effects/SkBlurImageFilter.cpp,108,Unknown,,,,+,+,+,,,,+,+,+,+,7
Integer overflow,frameworks/av/media/libstagefright/codecs/m4v_h263/enc/src/findhalfpel.cpp,145,Unknown,,,,+,+,+,,,,,,,+,4
Assigning value to const variable,external/icu4c/common/ucnvmbcs.c,1573,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/quake/quake/src/WinQuake/menu.cpp,2142,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/openssh/moduli.c,189,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,system/core/toolbox/mv.c,44,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/mesa3d/src/glsl/glcpp/glcpp-parse.c,2704,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/qemu/target-arm/translate.c,3426,Unknown,,,,+,+,+,,,,,,+,+,5
Integer overflow,external/v8/src/debug-agent.cc,398,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/llvm/lib/Support/APInt.cpp,1622,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/llvm/lib/Support/APInt.cpp,1621,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,libcore/luni/src/main/native/java_lang_StringToReal.cpp,912,Unclear,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/clang/lib/Basic/FileManager.cpp,616,Unknown,,,,+,+,+,,+,+,,+,+,+,8
Assigning value to const variable,external/webkit/Source/WebCore/dom/EventTarget.cpp,215,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/llvm/include/llvm/Bitcode/BitstreamWriter.h,181,Unknown,,,,+,,,,,,,,,,1
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/Deque.h,410,Unknown,,,,+,+,+,,+,+,+,+,,+,8
Assigning value to const variable,external/stlport/stlport/stl/_tree.c,376,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,frameworks/av/media/libstagefright/codecs/amrnb/common/src/div_32.cpp,189,TP,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,hardware/invensense/mlsdk/mllite/mlsupervisor.c,509,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,frameworks/compile/slang/BitWriter_2_9/ValueEnumerator.cpp,353,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Assigning value to const variable,external/llvm/include/llvm/ADT/APInt.h,597,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/fdlibm/e_fmod.c,103,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/llvm/lib/Support/APInt.cpp,997,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/llvm/lib/Support/APInt.cpp,997,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,libcore/luni/src/main/native/java_lang_StringToReal.cpp,438,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/llvm/include/llvm/ADT/APInt.h,596,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Assigning value to const variable,external/stlport/stlport/stl/_tree.c,370,Unknown,,,,+,+,+,,+,+,+,+,+,+,9
Integer overflow,external/opencv/cxcore/src/cxpersistence.cpp,4730,Unknown,,,,+,+,+,,,+,+,+,+,+,8
Assigning value to const variable,external/icu4c/common/ushape.c,383,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/clang/lib/CodeGen/CodeGenModule.h,433,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,external/webkit/Source/WebCore/xml/XPathNodeSet.cpp,41,Unknown,,,,+,+,+,,,,,,+,+,5
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanner.c,793,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/text/StringImpl.cpp,866,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/llvm/include/llvm/ADT/APInt.h,1179,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/text/StringImpl.cpp,925,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/llvm/lib/Support/APFloat.cpp,1008,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/v8/src/list.h,118,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/icu4c/common/ushape.c,384,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,frameworks/native/libs/utils/Debug.cpp,253,Unknown,,,,+,+,+,,,,,,,+,4
Assigning value to const variable,external/llvm/lib/Support/APInt.cpp,144,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,external/chromium/base/string_util.cc,1053,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/libpng/pngwrite.c,1277,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,libcore/luni/src/main/native/cbigint.cpp,296,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/clang/lib/CodeGen/CodeGenModule.h,425,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,external/compiler-rt/lib/asan/asan_interceptors.cc,311,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,external/webkit/Source/WebCore/editing/CompositeEditCommand.cpp,318,TP,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,bionic/libm/src/e_fmod.c,98,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/clang/lib/Frontend/TextDiagnostic.cpp,1090,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/Vector.h,703,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/clang/lib/Frontend/TextDiagnostic.cpp,1089,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/llvm/include/llvm/ADT/APInt.h,144,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,external/hyphenation/hyphen.c,808,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/clang/utils/TableGen/NeonEmitter.cpp,208,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,external/llvm/lib/Support/APFloat.cpp,89,Unknown,,,,+,+,+,,,,+,,,,4
Integer overflow,external/qemu/vnc-android.c,318,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,frameworks/av/media/libstagefright/httplive/LiveSession.cpp,905,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/llvm/lib/CodeGen/ScoreboardHazardRecognizer.cpp,140,Unknown,,,,+,+,+,,,,,,+,+,5
Assigning value to const variable,system/core/libcutils/tztime.c,1881,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/srec/seti/sltsEngine/src/run_seq_lts.c,1505,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,frameworks/av/media/libstagefright/mpeg2ts/MPEG2PSExtractor.cpp,451,Unclear,,,,+,+,+,,,,,,,,3
Integer overflow,frameworks/av/media/libstagefright/httplive/LiveSession.cpp,902,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/libpng/pngwutil.c,1822,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/GVN.cpp,374,TP,,,,+,,,,,,,+,,,2
Integer overflow,external/fdlibm/e_fmod.c,111,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/icu4c/common/uts46.cpp,910,Unknown,,,,+,+,+,,,,,,,+,4
Integer overflow,external/icu4c/i18n/ucol_elm.cpp,599,TP,,,,+,+,+,,,,,,,+,4
Assigning value to const variable,frameworks/compile/slang/BitWriter_2_9_func/ValueEnumerator.cpp,353,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,external/valgrind/main/drd/drd_bitmap.c,752,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,external/webp/src/enc/histogram.c,244,Unknown,,,,+,+,+,,,+,+,+,+,+,8
Integer overflow,external/webp/src/utils/huffman_encode.c,77,Unknown,,,,+,+,+,,,,,,+,+,5
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/Vector.h,799,Unknown,,,,+,+,+,,+,+,+,+,+,+,9
Integer overflow,external/llvm/lib/CodeGen/MachineInstr.cpp,450,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/llvm/lib/Support/APInt.cpp,1623,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/llvm/lib/Support/APInt.cpp,1623,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,frameworks/native/libs/utils/Debug.cpp,270,TP,,,,+,+,+,,,,,,,+,4
Integer overflow,external/llvm/include/llvm/Bitcode/BitstreamWriter.h,369,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/speex/libspeex/resample.c,958,Unknown,,,,+,+,+,,,,,,,,3
Assigning value to const variable,external/clang/utils/TableGen/NeonEmitter.cpp,209,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,external/libnfc-nci/src/nfc/llcp/llcp_dlc.c,933,Unknown,,,,+,+,+,,+,+,+,+,+,+,9
Integer overflow,external/compiler-rt/lib/asan/asan_report.cc,68,Unknown,,,,+,+,+,+,+,+,+,+,+,+,10
Integer overflow,bionic/libm/src/e_fmod.c,106,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/skia/src/gpu/GrTDArray.h,196,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,frameworks/av/libvideoeditor/lvpp/VideoEditorTools.cpp,1316,Unknown,,,,+,+,+,,,,,,,,3
Integer overflow,external/clang/lib/Frontend/TextDiagnostic.cpp,1088,Unknown,,,,+,+,+,,,+,,,,+,5
Assigning value to const variable,external/clang/lib/Basic/FileManager.cpp,617,Unknown,,,,+,+,+,,+,+,,+,+,,7
Integer overflow,external/webkit/Source/WebCore/platform/image-decoders/gif/GIFImageReader.cpp,441,Unknown,,,,,+,+,,,,,,,,2
Integer overflow,system/core/liblinenoise/linenoise.c,196,TP,,,,,+,+,,,,,,,,2
Integer overflow,external/llvm/lib/Support/APInt.cpp,864,Unknown,,,,,+,+,,,,,,,,2
Integer overflow,system/core/liblinenoise/linenoise.c,210,Unknown,,,,,+,+,,,,,,,,2
Assigning value to const variable,external/icu4c/common/ubidiln.c,647,Unknown,,,,,+,+,,,,,,+,+,4
Assigning value to const variable,external/icu4c/common/unistr.cpp,1426,Unknown,,,,,+,+,,,,,,,,2
Integer overflow,frameworks/av/media/libstagefright/codecs/amrwbenc/inc/basic_op.h,613,Unknown,,,,,+,+,,,,,,,,2
Assigning value to const variable,external/linux-tools-perf/builtin-script.c,860,TP,,,,,+,+,,,,,,,,2
Assigning value to const variable,external/icu4c/common/ubidiln.c,648,Unknown,,,,,+,+,,,,,,+,+,4
Assigning value to const variable,frameworks/av/media/libeffects/lvm/lib/Common/src/Shift_Sat_v16xv16.c,66,Unknown,,,,,+,+,,,,,,,,2
Assigning value to const variable,external/llvm/lib/Target/TargetData.cpp,433,Unknown,,,,,+,+,+,+,+,+,+,+,+,9
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/text/StringImpl.cpp,340,Unknown,,,,,+,+,,+,,,+,,+,5
Integer overflow,external/icu4c/i18n/ucol_elm.cpp,1721,Unknown,,,,,+,+,,+,,+,+,,,5
Assigning value to const variable,external/tcpdump/missing/strlcpy.c,67,Unknown,,,,,+,+,,,,,,,,2
Assigning value to const variable,external/icu4c/common/unistr.cpp,1410,Unknown,,,,,+,+,,,,,,,,2
Assigning value to const variable,external/icu4c/common/putil.c,1493,Unknown,,,,,+,+,,,,,+,+,+,5
Integer overflow,external/opencv/ml/src/mlsvm.cpp,1795,Unknown,,,,,+,+,,,,,,,,2
Integer overflow,external/clang/include/clang/Basic/SourceManager.h,1520,Unknown,,,,,+,+,,,,,,,+,3
Integer overflow,external/qemu/i386-dis.c,5118,Unknown,,,,,+,+,,,,,+,+,+,5
Integer overflow,packages/inputmethods/PinyinIME/jni/share/userdict.cpp,2239,Unknown,,,,,+,+,+,+,+,+,+,+,+,9
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/HashTable.h,690,Unknown,,,,,+,+,,,,,,,,2
Assigning value to const variable,external/icu4c/i18n/ucol_cnt.cpp,398,Unknown,,,,,+,+,,,,+,+,+,+,6
Assigning value to const variable,external/icu4c/common/unistr.cpp,1411,Unknown,,,,,+,+,,,,,,,,2
Integer overflow,external/icu4c/common/ucnv.c,1191,Unknown,,,,,+,+,,,,+,+,+,+,6
Assigning value to const variable,external/webkit/Source/WebCore/page/PageGroup.cpp,396,Unknown,,,,,+,+,,,,,,,,2
Integer overflow,external/opencv/cv/src/cvconvhull.cpp,476,Unknown,,,,,+,+,,,,,,,,2
Assigning value to const variable,external/clang/lib/Serialization/ModuleManager.cpp,167,Unknown,,,,,+,+,+,+,+,+,+,+,+,9
Integer overflow,frameworks/av/libvideoeditor/lvpp/VideoEditorTools.cpp,3726,Unknown,,,,,+,+,,,,,,,,2
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/Vector.h,853,Unknown,,,,,+,+,,,,,,,,2
Integer overflow,external/icu4c/common/uvectr32.h,266,Unknown,,,,,+,+,,,,,,,,2
Integer overflow,external/dnsmasq/src/option.c,2644,Unknown,,,,,+,+,,,,,,,,2
Integer overflow,external/stressapptest/src/worker.cc,836,Unknown,,,,,+,+,,,,,,,,2
Assigning value to const variable,external/openssl/crypto/cryptlib.c,646,Unknown,,,,,+,+,,,,,,,,2
Integer overflow,external/webkit/Source/WebCore/platform/image-decoders/gif/GIFImageReader.cpp,146,Unknown,,,,,+,+,,,,,,,,2
